sender,subject,body,label,id,timestamp,sub_len,body_len,sender_dmn
opportunity@work-from-home.org,Make $2762/Week From Home - No Experience!,"Make $2762/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,11,2025-08-01T07:31:54,42,295,work-from-home.org
pharmacy@crypto-profits.investment,Generic Viagra - 72% OFF No Prescription!,"Get Generic Viagra at 72% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,12,2025-07-25T17:50:20,41,230,crypto-profits.investment
deals@free-money.co,🔥 78% OFF Discount Electronics - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 78% OFF on discount electronics!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,13,2025-07-11T16:16:07,46,305,free-money.co
pharmacy@pharmacy-online.info,Weight Loss Pills - 76% OFF No Prescription!,"Get Weight Loss Pills at 76% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,14,2025-07-12T06:40:47,44,233,pharmacy-online.info
notifications@microsoft.com,Account Activity: Subscription Renewal,"Hello,

This is a notification about your Microsoft account regarding: subscription renewal.

Time: 2025-08-03 18:08:32
Location: Johnton, Belize

If this wasn't you, please contact our security team immediately.

Microsoft Account Team",legitimate,15,2025-07-08T11:39:13,38,236,microsoft.com
prince@pharmacy-online.info,"Urgent Business Proposal - $17,761,604","Dear Friend,

I am writing to you from Holy See (Vatican City State). I am a prince/businessman/lawyer with access to $17,761,604 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($5,328,481).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Heidi Combs",spam,16,2025-08-01T21:06:27,38,485,pharmacy-online.info
deals@lottery-winner.net,🔥 54% OFF Weight Loss Pills - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 54% OFF on weight loss pills!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,17,2025-07-20T20:23:02,43,302,lottery-winner.net
prince@get-rich-quick.net,"Urgent Business Proposal - $44,085,200","Dear Friend,

I am writing to you from Netherlands Antilles. I am a prince/businessman/lawyer with access to $44,085,200 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($13,225,560).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Diana Fuller",spam,18,2025-08-01T17:24:26,38,478,get-rich-quick.net
opportunity@get-rich-quick.net,Make $1609/Week From Home - No Experience!,"Make $1609/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,19,2025-07-13T04:37:48,42,295,get-rich-quick.net
security@paypaI.com,URGENT ACTION REQUIRED - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,20,2025-07-12T02:04:07,45,255,paypaI.com
alert@fake-rolex.shop,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,21,2025-08-04T07:56:29,48,377,fake-rolex.shop
orders@dropbox.com,Order Confirmation #305800,"Thank you for your order #305800!
        
Your order has been confirmed and will be processed within 1-2 business days.

Order Summary:
- Total: $313.13
- Estimated delivery: 2025-08-10
- Tracking information will be sent to this email

Questions? Contact our support team.

Best regards,
Dropbox Team",legitimate,22,2025-07-20T06:45:16,26,302,dropbox.com
alert@work-from-home.org,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,23,2025-07-25T23:26:13,48,377,work-from-home.org
newsletter@salesforce.com,Salesforce Weekly: Industry Insights,"Hi there!

Welcome to this week's Salesforce newsletter featuring industry insights.

This week we're covering:
• New feature releases
• Customer success stories  
• Upcoming events
• Industry trends

Read more on our blog or contact us with questions.

Best,
The Salesforce Team

Unsubscribe | Update preferences",legitimate,24,2025-07-06T02:09:30,36,313,salesforce.com
prince@tempmail.com,"Urgent Business Proposal - $5,067,247","Dear Friend,

I am writing to you from Kyrgyz Republic. I am a prince/businessman/lawyer with access to $5,067,247 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($1,520,174).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Michael Lewis",spam,25,2025-07-18T11:37:13,37,472,tempmail.com
pharmacy@crypto-profits.investment,Weight Loss Pills - 73% OFF No Prescription!,"Get Weight Loss Pills at 73% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,26,2025-07-27T07:53:52,44,233,crypto-profits.investment
lottery@amazing-deals.biz,"YOU WON $8,563,111!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $8,563,111 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 952196

Contact our claims department immediately!

Dr. Howard, Lottery Commissioner",spam,27,2025-07-12T22:52:46,31,366,amazing-deals.biz
opportunity@guerrillamail.com,Make $1758/Week From Home - No Experience!,"Make $1758/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,28,2025-07-09T02:15:37,42,295,guerrillamail.com
opportunity@guerrillamail.com,Make $4545/Week From Home - No Experience!,"Make $4545/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,29,2025-07-08T05:07:12,42,295,guerrillamail.com
security@stripe.com,Password Reset Request - Stripe,"Hi,

We received a request to reset your password for your Stripe account.

If you requested this, click the link below to reset your password:
[Reset Password Link]

This link will expire in 24 hours.

If you didn't request this, please ignore this email.

Stripe Security Team",legitimate,30,2025-07-30T15:36:53,31,278,stripe.com
security@arnazon.com,Security breach detected - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,31,2025-07-25T18:08:59,47,255,arnazon.com
lottery@pharmacy-online.info,"YOU WON $3,761,737!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $3,761,737 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 850475

Contact our claims department immediately!

Dr. Snyder, Lottery Commissioner",spam,32,2025-07-27T11:53:52,31,366,pharmacy-online.info
lottery@work-from-home.org,"YOU WON $507,275!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $507,275 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 436455

Contact our claims department immediately!

Dr. Diaz, Lottery Commissioner",spam,33,2025-07-18T15:28:11,29,362,work-from-home.org
security@goog1e.com,URGENT ACTION REQUIRED - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,34,2025-08-03T12:19:36,45,255,goog1e.com
opportunity@get-rich-quick.net,Make $2698/Week From Home - No Experience!,"Make $2698/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,35,2025-07-23T03:39:37,42,295,get-rich-quick.net
security@arnazon.com,URGENT ACTION REQUIRED - Account Verification,"Security breach detected

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,36,2025-07-24T01:40:48,45,255,arnazon.com
prince@crypto-profits.investment,"Urgent Business Proposal - $23,830,792","Dear Friend,

I am writing to you from Peru. I am a prince/businessman/lawyer with access to $23,830,792 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($7,149,238).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Benjamin Cline",spam,37,2025-07-16T09:58:34,38,463,crypto-profits.investment
security@goog1e.com,URGENT ACTION REQUIRED - Account Verification,"Verify immediately

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,38,2025-07-22T12:04:50,45,249,goog1e.com
billing@shopify.com,Payment Confirmation - Shopify,"Dear Customer,

Your Shopify subscription has been renewed.

Amount charged: $41.37
Next billing date: 2025-09-03
Payment method: Card ending in 6869

View your invoice or update billing information in your account.

Shopify Billing Team",legitimate,39,2025-07-13T16:38:16,30,237,shopify.com
pharmacy@crypto-profits.investment,Anti-aging cream - 68% OFF No Prescription!,"Get Anti-aging cream at 68% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,40,2025-07-29T01:31:46,43,232,crypto-profits.investment
security@paypaI.com,Account will be suspended - Account Verification,"Account will be suspended

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,41,2025-08-04T05:56:34,48,256,paypaI.com
welcome@netflix.com,Welcome to Netflix!,"Welcome to Netflix!

We're excited to have you on board. Here's what you can do next:

1. Complete your profile setup
2. Explore our features
3. Join our community
4. Contact support if you need help

Get started: [Getting Started Guide]

Welcome aboard!
The Netflix Team",legitimate,42,2025-07-23T10:32:23,19,271,netflix.com
security@microsooft.com,Security breach detected - Account Verification,"Account will be suspended

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,43,2025-07-07T18:12:38,47,256,microsooft.com
notifications@apple.com,Account Activity: Subscription Renewal,"Hello,

This is a notification about your Apple account regarding: subscription renewal.

Time: 2025-08-03 22:32:33
Location: Port Susan, Tuvalu

If this wasn't you, please contact our security team immediately.

Apple Account Team",legitimate,44,2025-07-26T23:39:30,38,231,apple.com
prince@amazing-deals.biz,"Urgent Business Proposal - $17,634,077","Dear Friend,

I am writing to you from Saint Kitts and Nevis. I am a prince/businessman/lawyer with access to $17,634,077 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($5,290,223).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Brittany Jackson",spam,45,2025-07-16T03:44:30,38,482,amazing-deals.biz
alert@fake-rolex.shop,⚠️ URGENT: Microsoft detected suspicious activity!,"⚠️ URGENT ALERT ⚠️

Microsoft detected suspicious activity!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,46,2025-07-12T15:57:15,50,379,fake-rolex.shop
opportunity@weight-loss-miracle.com,Make $2619/Week From Home - No Experience!,"Make $2619/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,47,2025-08-03T16:52:24,42,295,weight-loss-miracle.com
welcome@spotify.com,Welcome to Spotify!,"Welcome to Spotify!

We're excited to have you on board. Here's what you can do next:

1. Complete your profile setup
2. Explore our features
3. Join our community
4. Contact support if you need help

Get started: [Getting Started Guide]

Welcome aboard!
The Spotify Team",legitimate,48,2025-07-26T06:59:57,19,271,spotify.com
prince@amazing-deals.biz,"Urgent Business Proposal - $27,375,137","Dear Friend,

I am writing to you from Mayotte. I am a prince/businessman/lawyer with access to $27,375,137 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($8,212,541).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Peter Fitzgerald",spam,49,2025-07-18T22:13:16,38,468,amazing-deals.biz
lottery@fake-rolex.shop,"YOU WON $9,155,888!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $9,155,888 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 555647

Contact our claims department immediately!

Dr. Bennett, Lottery Commissioner",spam,50,2025-07-25T13:19:03,31,367,fake-rolex.shop
lottery@lottery-winner.net,"YOU WON $6,646,219!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $6,646,219 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 513570

Contact our claims department immediately!

Dr. Fry, Lottery Commissioner",spam,51,2025-07-26T00:30:49,31,363,lottery-winner.net
pharmacy@lottery-winner.net,Pain Relief - 65% OFF No Prescription!,"Get Pain Relief at 65% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,52,2025-07-16T18:27:22,38,227,lottery-winner.net
prince@lottery-winner.net,"Urgent Business Proposal - $32,730,779","Dear Friend,

I am writing to you from India. I am a prince/businessman/lawyer with access to $32,730,779 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($9,819,234).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Jordan Evans",spam,53,2025-07-11T06:34:14,38,462,lottery-winner.net
deals@crypto-profits.investment,🔥 64% OFF Fake Designer Watches - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 64% OFF on fake designer watches!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,54,2025-07-28T07:18:48,47,306,crypto-profits.investment
lottery@pharmacy-online.info,"YOU WON $5,251,494!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $5,251,494 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 358827

Contact our claims department immediately!

Dr. Lopez, Lottery Commissioner",spam,55,2025-07-24T00:56:58,31,365,pharmacy-online.info
support@google.com,Re: Billing Inquiry - Ticket #35886,We're sorry to hear about the trouble you're experiencing with refund process. Our technical team is looking into this and will provide an update soon. Thank you for your patience.,legitimate,56,2025-07-19T22:26:44,35,180,google.com
notifications@apple.com,Account Activity: Security Setting Change,"Hello,

This is a notification about your Apple account regarding: security setting change.

Time: 2025-08-03 19:37:35
Location: Stephanieshire, Svalbard & Jan Mayen Islands

If this wasn't you, please contact our security team immediately.

Apple Account Team",legitimate,57,2025-07-13T11:27:43,41,260,apple.com
prince@pharmacy-online.info,"Urgent Business Proposal - $28,064,042","Dear Friend,

I am writing to you from Lesotho. I am a prince/businessman/lawyer with access to $28,064,042 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($8,419,213).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Jason Dyer",spam,58,2025-07-14T06:00:34,38,462,pharmacy-online.info
security@goog1e.com,URGENT ACTION REQUIRED - Account Verification,"URGENT ACTION REQUIRED

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,59,2025-08-03T04:50:38,45,253,goog1e.com
alert@get-rich-quick.net,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,60,2025-07-26T10:17:39,54,383,get-rich-quick.net
lottery@pharmacy-online.info,"YOU WON $5,221,059!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $5,221,059 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 160306

Contact our claims department immediately!

Dr. Mata, Lottery Commissioner",spam,61,2025-07-06T12:25:46,31,364,pharmacy-online.info
pharmacy@amazing-deals.biz,Anti-aging cream - 74% OFF No Prescription!,"Get Anti-aging cream at 74% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,62,2025-07-09T08:19:28,43,232,amazing-deals.biz
opportunity@work-from-home.org,Make $4773/Week From Home - No Experience!,"Make $4773/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,63,2025-07-20T13:09:11,42,295,work-from-home.org
security@paypaI.com,Security breach detected - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,64,2025-07-25T04:43:09,47,255,paypaI.com
pharmacy@amazing-deals.biz,Pain Relief - 83% OFF No Prescription!,"Get Pain Relief at 83% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,65,2025-07-15T13:09:22,38,227,amazing-deals.biz
alert@get-rich-quick.net,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,66,2025-07-16T12:38:14,54,383,get-rich-quick.net
deals@crypto-profits.investment,🔥 54% OFF Weight Loss Pills - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 54% OFF on weight loss pills!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,67,2025-07-25T22:35:55,43,302,crypto-profits.investment
lottery@crypto-profits.investment,"YOU WON $1,381,518!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $1,381,518 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 559336

Contact our claims department immediately!

Dr. Vasquez, Lottery Commissioner",spam,68,2025-07-25T03:05:28,31,367,crypto-profits.investment
opportunity@amazing-deals.biz,Make $1695/Week From Home - No Experience!,"Make $1695/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,69,2025-07-31T15:36:46,42,295,amazing-deals.biz
billing@mailchimp.com,Payment Confirmation - Mailchimp,"Dear Customer,

Your Mailchimp subscription has been renewed.

Amount charged: $88.91
Next billing date: 2025-09-01
Payment method: Card ending in 7947

View your invoice or update billing information in your account.

Mailchimp Billing Team",legitimate,70,2025-08-03T01:08:46,32,241,mailchimp.com
lottery@lottery-winner.net,"YOU WON $6,819,968!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $6,819,968 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 951077

Contact our claims department immediately!

Dr. Daniels, Lottery Commissioner",spam,71,2025-07-06T04:38:15,31,367,lottery-winner.net
alert@get-rich-quick.net,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,72,2025-07-27T14:19:09,54,383,get-rich-quick.net
orders@dropbox.com,Order Confirmation #638266,"Thank you for your order #638266!
        
Your order has been confirmed and will be processed within 1-2 business days.

Order Summary:
- Total: $133.05
- Estimated delivery: 2025-08-08
- Tracking information will be sent to this email

Questions? Contact our support team.

Best regards,
Dropbox Team",legitimate,73,2025-07-25T05:15:20,26,302,dropbox.com
alert@crypto-profits.investment,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,74,2025-07-07T13:28:06,54,383,crypto-profits.investment
