sender,subject,body,label,id,timestamp,sub_len,body_len,sender_dmn,quote_number,company,warranty_number,order_number,product,po_number,tracking_number,inquiry_number,supplier,rma_number,invoice_number,ticket_number,delivery_number
alert@fake-rolex.shop,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,10,2025-07-26T05:59:06,48,377,fake-rolex.shop,,,,,,,,,,,,,
prince@weight-loss-miracle.com,"Urgent Business Proposal - $33,892,447","Dear Friend,

I am writing to you from Wallis and Futuna. I am a prince/businessman/lawyer with access to $33,892,447 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($10,167,734).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince David Bradley",spam,11,2025-08-04T02:05:43,38,476,weight-loss-miracle.com,,,,,,,,,,,,,
shipping@advancedsystemsinc.com,Shipment Confirmation - PO PO-68429 - Tracking 1Z567158068796912,"Shipment Notification

Your order has been shipped!

PO Number: PO-68429
Product: Junction Box JB-330
Tracking Number: 1Z567158068796912
Carrier: UPS Ground
Estimated Delivery: 2025-08-08

Ship To:
Your Company Name
09456 Jordan Mission Apt. 665
Henrytown, CT 47912

Track your shipment: https://ups.com/track?1Z567158068796912

Advanced Systems Inc Shipping Department",legitimate,12,2025-07-06T00:18:50,64,369,advancedsystemsinc.com,,,,,Junction Box JB-330,PO-68429,1Z567158068796912,,,,,,
procurement@johnsonindustries.com,Purchase Order PO-56697 - Circuit Breaker CB-780,"Purchase Order

TO: Your Company
FROM: Johnson Industries

Purchase Order Number: PO-56697
Date: August 04, 2025

Item Details:
Product: Circuit Breaker CB-780
Quantity: 124
Unit Price: $2203.96
Total: $273291.28

Delivery Requirements:
Required Date: 2025-08-19
Delivery Address:
058 Anthony Locks Suite 386
New Jeffrey, IA 72915

Terms: Net 30
Special Instructions: Handle with care, notify upon delivery

Authorized by: Jason Ortiz
Title: Procurement Manager

Johnson Industries",legitimate,13,2025-07-12T21:13:19,48,481,johnsonindustries.com,,Johnson Industries,,,Circuit Breaker CB-780,PO-56697,,,,,,,
deals@guerrillamail.com,🔥 84% OFF Discount Electronics - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 84% OFF on discount electronics!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,14,2025-07-10T18:55:56,46,305,guerrillamail.com,,,,,,,,,,,,,
orders@daviscorp.com,Purchase Order ORD-639421 - Cable Assembly CA-660,"Dear Sales Team,

We would like to place the following order:

Order Number: ORD-639421
Customer: Davis Corp
Product: Cable Assembly CA-660
Quantity: 38 units
Unit Price: $2873.85
Total: $109206.36

Please confirm availability and expected delivery date.

Shipping Address:
14493 Johnny Summit Apt. 050
Lake Patricia, HI 62735

Contact: Bob Bradford
Phone: 227-971-0422

Best regards,
Davis Corp Procurement Team",legitimate,15,2025-07-12T10:01:19,49,412,daviscorp.com,,Davis Corp,,ORD-639421,Cable Assembly CA-660,,,,,,,,
parts@abcmanufacturing.com,Parts Availability INQ-57799,"Parts Availability Update

Inquiry Number: INQ-57799
Date: August 04, 2025

Current availability for requested parts:

- Hydraulic Valve V-450: Limited Stock - Lead Time: 1-2 days
- Cable Assembly CA-660: Back Order - Lead Time: 1-2 days
- Circuit Breaker CB-780: Discontinued - Lead Time: 1-2 days
- Sensor Unit SU-445: Limited Stock - Lead Time: TBD
- Control Panel CP-890: Discontinued - Lead Time: 2-3 weeks


Pricing:
Please contact sales for current pricing and volume discounts.

Notes:
- Prices subject to change without notice
- Lead times may vary based on demand
- Custom configurations available upon request

For orders, please reference inquiry number INQ-57799.

ABC Manufacturing Parts Department
Phone: (471)365-7662x384
Email: parts@abcmanufacturing.com",legitimate,16,2025-07-13T15:46:42,28,771,abcmanufacturing.com,,,,,,,,INQ-57799,ABC Manufacturing,,,,
pharmacy@weight-loss-miracle.com,Generic Viagra - 74% OFF No Prescription!,"Get Generic Viagra at 74% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,17,2025-08-03T00:28:10,41,230,weight-loss-miracle.com,,,,,,,,,,,,,
deals@crypto-profits.investment,🔥 77% OFF Weight Loss Pills - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 77% OFF on weight loss pills!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,18,2025-07-28T04:16:18,43,302,crypto-profits.investment,,,,,,,,,,,,,
pharmacy@weight-loss-miracle.com,Generic Viagra - 76% OFF No Prescription!,"Get Generic Viagra at 76% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,19,2025-07-09T02:43:37,41,230,weight-loss-miracle.com,,,,,,,,,,,,,
parts@advancedsystemsinc.com,Parts Availability INQ-57018,"Parts Availability Update

Inquiry Number: INQ-57018
Date: August 04, 2025

Current availability for requested parts:

- Hydraulic Valve V-450: Back Order - Lead Time: 1 week
- Sensor Unit SU-445: Discontinued - Lead Time: 2-3 weeks
- Circuit Breaker CB-780: In Stock - Lead Time: 1 week
- Motor Mount MM-567: In Stock - Lead Time: 1-2 days


Pricing:
Please contact sales for current pricing and volume discounts.

Notes:
- Prices subject to change without notice
- Lead times may vary based on demand
- Custom configurations available upon request

For orders, please reference inquiry number INQ-57018.

Advanced Systems Inc Parts Department
Phone: (222)358-2938x382
Email: parts@advancedsystemsinc.com",legitimate,20,2025-07-12T19:22:01,28,705,advancedsystemsinc.com,,,,,,,,INQ-57018,Advanced Systems Inc,,,,
pharmacy@get-rich-quick.net,Anti-aging cream - 69% OFF No Prescription!,"Get Anti-aging cream at 69% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,21,2025-07-07T06:17:50,43,232,get-rich-quick.net,,,,,,,,,,,,,
lottery@lottery-winner.net,"YOU WON $856,849!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $856,849 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 606553

Contact our claims department immediately!

Dr. Turner, Lottery Commissioner",spam,22,2025-07-29T19:09:30,29,364,lottery-winner.net,,,,,,,,,,,,,
alert@fake-rolex.shop,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,23,2025-07-26T20:39:37,54,383,fake-rolex.shop,,,,,,,,,,,,,
security@paypaI.com,Verify immediately - Account Verification,"Security breach detected

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,24,2025-07-07T21:12:38,41,255,paypaI.com,,,,,,,,,,,,,
procurement@daviscorp.com,Purchase Order PO-56568 - Junction Box JB-330,"Purchase Order

TO: Your Company
FROM: Davis Corp

Purchase Order Number: PO-56568
Date: August 04, 2025

Item Details:
Product: Junction Box JB-330
Quantity: 108
Unit Price: $513.41
Total: $55448.10

Delivery Requirements:
Required Date: 2025-08-31
Delivery Address:
080 Barrera Glens Apt. 704
Montoyafurt, NV 86384

Terms: Net 30
Special Instructions: Handle with care, notify upon delivery

Authorized by: Sarah Sanchez
Title: Procurement Manager

Davis Corp",legitimate,25,2025-07-20T14:47:08,45,461,daviscorp.com,,Davis Corp,,,Junction Box JB-330,PO-56568,,,,,,,
security@microsooft.com,Security breach detected - Account Verification,"Security breach detected

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,26,2025-07-15T10:37:54,47,255,microsooft.com,,,,,,,,,,,,,
pharmacy@lottery-winner.net,Anti-aging cream - 63% OFF No Prescription!,"Get Anti-aging cream at 63% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,27,2025-07-10T17:07:25,43,232,lottery-winner.net,,,,,,,,,,,,,
returns@johnsonindustries.com,RMA Request RMA-25704 - Power Supply PS-990,"RMA Request

RMA Number: RMA-25704
Original Order: ORD-237537
Customer: Johnson Industries
Product: Power Supply PS-990
Issue: defective

Description:
The product received does not meet specifications. We need to return this item for replacement or refund.

Purchased Date: 2025-06-01
Serial Number: SN300677

Please provide return shipping instructions.

Contact: Sarah Williams
Email: leslieelliott@example.org
Phone: 599.387.7149x241

Johnson Industries Returns Department",legitimate,28,2025-07-22T13:31:51,43,475,johnsonindustries.com,,,,ORD-237537,Power Supply PS-990,,,,,RMA-25704,,,
pharmacy@weight-loss-miracle.com,Pain Relief - 85% OFF No Prescription!,"Get Pain Relief at 85% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,29,2025-07-19T14:23:10,38,227,weight-loss-miracle.com,,,,,,,,,,,,,
alert@weight-loss-miracle.com,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,30,2025-07-24T11:18:45,54,383,weight-loss-miracle.com,,,,,,,,,,,,,
security@paypaI.com,Account will be suspended - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,31,2025-07-27T16:43:39,48,255,paypaI.com,,,,,,,,,,,,,
alert@crypto-profits.investment,⚠️ URGENT: FBI investigation requires your assistance!,"⚠️ URGENT ALERT ⚠️

FBI investigation requires your assistance!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,32,2025-07-27T07:46:23,54,383,crypto-profits.investment,,,,,,,,,,,,,
deals@get-rich-quick.net,🔥 51% OFF Miracle Cream - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 51% OFF on miracle cream!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,33,2025-07-22T12:17:00,39,298,get-rich-quick.net,,,,,,,,,,,,,
pharmacy@work-from-home.org,Anti-aging cream - 78% OFF No Prescription!,"Get Anti-aging cream at 78% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,34,2025-07-11T10:15:37,43,232,work-from-home.org,,,,,,,,,,,,,
prince@lottery-winner.net,"Urgent Business Proposal - $29,833,445","Dear Friend,

I am writing to you from Nepal. I am a prince/businessman/lawyer with access to $29,833,445 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($8,950,034).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Meredith Miller",spam,35,2025-07-10T12:04:20,38,465,lottery-winner.net,,,,,,,,,,,,,
deals@lottery-winner.net,🔥 62% OFF Weight Loss Pills - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 62% OFF on weight loss pills!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,36,2025-07-15T08:41:05,43,302,lottery-winner.net,,,,,,,,,,,,,
maintenance@johnsonindustries.com,Warranty Claim WAR-56102 - Sensor Unit SU-445,"Warranty Claim

Warranty Claim Number: WAR-56102
Original Order: ORD-229440
Customer: Johnson Industries
Product: Sensor Unit SU-445
Serial Number: SN931618

Purchase Date: 2024-06-02
Warranty Period: 2 years

Issue Description:
Product has failed prematurely. We believe this is covered under warranty.

Failure Details:
- Date of failure: 2025-07-19
- Symptoms: Intermittent operation, unusual noise
- Operating conditions: Normal industrial environment

We request either repair or replacement under warranty terms.

Supporting documentation attached.

Contact: Alex Wilkins
Phone: 9953835437

Johnson Industries Maintenance Department",legitimate,37,2025-07-14T19:10:38,45,638,johnsonindustries.com,,,WAR-56102,ORD-229440,Sensor Unit SU-445,,,,,,,,
pharmacy@tempmail.com,Pain Relief - 72% OFF No Prescription!,"Get Pain Relief at 72% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,38,2025-07-22T20:34:16,38,227,tempmail.com,,,,,,,,,,,,,
purchasing@thompsoncorp.com,Quote Request QUO-27145 - Multiple Items,"Quote Request

Company: Thompson Corp
Quote Number: QUO-27145
Date: August 04, 2025

We are requesting a quote for the following items:

1. Sensor Unit SU-445 - Quantity: 43


Please include:
- Unit pricing
- Volume discounts
- Lead times
- Shipping costs
- Payment terms

Required delivery date: 2025-09-17

Contact Information:
Laura Diaz
bsteele@example.org
(580)589-7198

Thank you for your prompt response.

Thompson Corp Purchasing Department",legitimate,39,2025-07-24T13:05:54,40,448,thompsoncorp.com,QUO-27145,Thompson Corp,,,,,,,,,,,
alert@crypto-profits.investment,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,40,2025-07-14T13:27:59,48,377,crypto-profits.investment,,,,,,,,,,,,,
lottery@free-money.co,"YOU WON $6,556,339!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $6,556,339 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 777442

Contact our claims department immediately!

Dr. Gomez, Lottery Commissioner",spam,41,2025-07-26T10:48:28,31,365,free-money.co,,,,,,,,,,,,,
parts@megapartsindustries.com,Parts Availability INQ-83818,"Parts Availability Update

Inquiry Number: INQ-83818
Date: August 04, 2025

Current availability for requested parts:

- Relay Module RM-225: Discontinued - Lead Time: 2-3 weeks
- Industrial Pump Model X200: Back Order - Lead Time: 1-2 days
- Power Supply PS-990: Back Order - Lead Time: 2-3 weeks
- Circuit Breaker CB-780: Discontinued - Lead Time: 1-2 days


Pricing:
Please contact sales for current pricing and volume discounts.

Notes:
- Prices subject to change without notice
- Lead times may vary based on demand
- Custom configurations available upon request

For orders, please reference inquiry number INQ-83818.

MegaParts Industries Parts Department
Phone: 890.466.2907
Email: parts@megapartsindustries.com",legitimate,42,2025-08-04T08:31:06,28,719,megapartsindustries.com,,,,,,,,INQ-83818,MegaParts Industries,,,,
alert@lottery-winner.net,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,43,2025-07-25T19:14:46,54,383,lottery-winner.net,,,,,,,,,,,,,
deals@lottery-winner.net,🔥 50% OFF Discount Electronics - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 50% OFF on discount electronics!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,44,2025-07-11T23:28:12,46,305,lottery-winner.net,,,,,,,,,,,,,
prince@tempmail.com,"Urgent Business Proposal - $22,363,703","Dear Friend,

I am writing to you from South Georgia and the South Sandwich Islands. I am a prince/businessman/lawyer with access to $22,363,703 that needs to be transferred out of the country.

I need your help to transfer this money. In return, you will receive 30% ($6,709,111).

All I need is:
- Your bank account details
- Copy of your passport
- Small transfer fee of $2,000

This is 100% legal and risk-free.

Contact me immediately for this once-in-a-lifetime opportunity.

Prince Lisa Moreno",spam,45,2025-07-23T16:53:29,38,500,tempmail.com,,,,,,,,,,,,,
procurement@millermanufacturing.com,Purchase Order PO-60119 - Safety Switch SS-123,"Purchase Order

TO: Your Company
FROM: Miller Manufacturing

Purchase Order Number: PO-60119
Date: August 04, 2025

Item Details:
Product: Safety Switch SS-123
Quantity: 129
Unit Price: $2553.51
Total: $329402.37

Delivery Requirements:
Required Date: 2025-09-13
Delivery Address:
5410 Phelps Springs
Jasminport, MH 71585

Terms: Net 30
Special Instructions: Handle with care, notify upon delivery

Authorized by: Mrs. Shannon Rowe MD
Title: Procurement Manager

Miller Manufacturing",legitimate,46,2025-07-16T17:03:57,46,483,millermanufacturing.com,,Miller Manufacturing,,,Safety Switch SS-123,PO-60119,,,,,,,
procurement@daviscorp.com,Purchase Order PO-98700 - Power Supply PS-990,"Purchase Order

TO: Your Company
FROM: Davis Corp

Purchase Order Number: PO-98700
Date: August 04, 2025

Item Details:
Product: Power Supply PS-990
Quantity: 50
Unit Price: $493.59
Total: $24679.60

Delivery Requirements:
Required Date: 2025-09-17
Delivery Address:
654 Kelly Glens
New Jenniferport, IL 33244

Terms: Net 30
Special Instructions: Handle with care, notify upon delivery

Authorized by: Andrew Chase
Title: Procurement Manager

Davis Corp",legitimate,47,2025-07-13T12:54:56,45,453,daviscorp.com,,Davis Corp,,,Power Supply PS-990,PO-98700,,,,,,,
pharmacy@work-from-home.org,Pain Relief - 69% OFF No Prescription!,"Get Pain Relief at 69% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,48,2025-07-13T00:30:33,38,227,work-from-home.org,,,,,,,,,,,,,
alert@get-rich-quick.net,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,49,2025-07-17T07:59:15,48,377,get-rich-quick.net,,,,,,,,,,,,,
security@arnazon.com,Click now or lose access - Account Verification,"Security breach detected

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,50,2025-07-09T02:34:37,47,255,arnazon.com,,,,,,,,,,,,,
alert@free-money.co,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,51,2025-07-24T21:20:32,54,383,free-money.co,,,,,,,,,,,,,
alert@crypto-profits.investment,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,52,2025-07-15T16:17:03,48,377,crypto-profits.investment,,,,,,,,,,,,,
lottery@tempmail.com,"YOU WON $6,529,210!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $6,529,210 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 776051

Contact our claims department immediately!

Dr. Erickson, Lottery Commissioner",spam,53,2025-07-21T20:45:43,31,368,tempmail.com,,,,,,,,,,,,,
maintenance@garciaindustries.com,Warranty Claim WAR-91998 - Safety Switch SS-123,"Warranty Claim

Warranty Claim Number: WAR-91998
Original Order: ORD-656038
Customer: Garcia Industries
Product: Safety Switch SS-123
Serial Number: SN563191

Purchase Date: 2023-10-15
Warranty Period: 2 years

Issue Description:
Product has failed prematurely. We believe this is covered under warranty.

Failure Details:
- Date of failure: 2025-07-06
- Symptoms: Intermittent operation, unusual noise
- Operating conditions: Normal industrial environment

We request either repair or replacement under warranty terms.

Supporting documentation attached.

Contact: Dr. Jessica Gordon
Phone: (308)219-2025

Garcia Industries Maintenance Department",legitimate,54,2025-07-06T02:38:53,47,647,garciaindustries.com,,,WAR-91998,ORD-656038,Safety Switch SS-123,,,,,,,,
